player_name,pga_2025_rank,pga_2025_sg_putt,putter_type_2025,putter_brand_2025,putter_model_2025,pga_2025_group,season,masters_2026_finish,masters_2026_finish_num,masters_2026_score,putter_type_masters,putter_brand_masters,putter_model_masters,putter_consistency,putter_type_unified
Adam Scott,,,,,,,,T18,18.0,-5.0,mallet,L.A.B.,MEZZ.1 Max,only_in_one_dataset,mallet
Adam Svensson,173.0,-0.579,blade,Odyssey,Toulon Design 904L,bottom20,2025.0,,,,,,,only_in_one_dataset,blade
Akshay Bhatia,,,,,,,,T18,18.0,-5.0,mallet,Ping,PLD Tyne 4,only_in_one_dataset,mallet
Alejandro Tosti,174.0,-0.58,blade,Scotty Cameron,Squareback,bottom20,2025.0,,,,,,,only_in_one_dataset,blade
Andrew Putnam,16.0,0.439,mallet,Odyssey,White Hot RX Rossie,top20,2025.0,,,,,,,only_in_one_dataset,mallet
Ben Griffin,19.0,0.407,blade,Scotty Cameron,Concept 2 Tour Prototype,top20,2025.0,,,,,,,only_in_one_dataset,blade
Ben Kohles,170.0,-0.529,mallet,Scotty Cameron,P5 GSS,bottom20,2025.0,,,,,,,only_in_one_dataset,mallet
Brandt Snedeker,11.0,0.531,mallet,Odyssey,White Hot XG Rossie,top20,2025.0,,,,,,,only_in_one_dataset,mallet
Brian Harman,,,,,,,,T35,35.0,-3.0,mallet,Ping,PLD Tyne,only_in_one_dataset,mallet
Brooks Koepka,,,,,,,,T18,18.0,-5.0,blade,Scotty Cameron,Newport 2,only_in_one_dataset,blade
Bryson Dechambeau,,,,,,,,T18,18.0,-5.0,blade,SIK / L.A.B.,DF3,only_in_one_dataset,blade
Byeong Hun An,165.0,-0.404,mallet,L.A.B. Golf,Mezz.1,bottom20,2025.0,,,,,,,only_in_one_dataset,mallet
Cameron Smith,,,,,,,,T25,25.0,-4.0,mallet,Scotty Cameron,Phantom X,only_in_one_dataset,mallet
Cameron Young,7.0,0.642,mallet,Scotty Cameron,Phantom 9.5 Tour Prototype,top20,2025.0,T3,3.0,-11.0,mallet,Scotty Cameron,Phantom 9.5R Tour Prototype,consistent,mallet
Chris Gotterup,,,,,,,,T35,35.0,-3.0,mallet,Odyssey,Ai-One,only_in_one_dataset,mallet
Christiaan Bezuidenhout,13.0,0.458,mallet,Odyssey,Works Big T #5,top20,2025.0,,,,,,,only_in_one_dataset,mallet
Collin Morikawa,,,,,,,,T7,7.0,-10.0,blade,Titleist,Scotty Cameron Newport prototype,only_in_one_dataset,blade
Corey Conners,,,,,,,,T25,25.0,-4.0,mallet,Odyssey,White Hot OG,only_in_one_dataset,mallet
Denny Mccarthy,4.0,0.679,mallet,Scotty Cameron,TOUR-only GoLo N7,top20,2025.0,,,,,,,only_in_one_dataset,mallet
Doug Ghim,177.0,-0.808,mallet,Scotty Cameron,Phantom 7.2 Tour Prototype,bottom20,2025.0,,,,,,,only_in_one_dataset,mallet
Dustin Johnson,,,,,,,,T25,25.0,-4.0,mallet,TaylorMade,Spider Tour,only_in_one_dataset,mallet
Erik Van Rooyen,164.0,-0.401,blade,Odyssey,Toulon Design San Diego,bottom20,2025.0,,,,,,,only_in_one_dataset,blade
Frankie Capan Iii,12.0,0.488,mallet,Scotty Cameron,Phantom T9.5 Tour Only,top20,2025.0,,,,,,,only_in_one_dataset,mallet
Garrick Higgo,6.0,0.661,mallet,L.A.B.,Golf OZ.1 Pro,top20,2025.0,,,,,,,only_in_one_dataset,mallet
Greyson Sigg,167.0,-0.454,mallet,TaylorMade,Spider Tour,bottom20,2025.0,,,,,,,only_in_one_dataset,mallet
Harris English,18.0,0.418,mallet,PING,Scottsdale Hohum,top20,2025.0,,,,,,,only_in_one_dataset,mallet
Harry Hall,3.0,0.881,blade,Odyssey,O-Works Black #1 Wide S,top20,2025.0,,,,,,,only_in_one_dataset,blade
Hayden Buckley,169.0,-0.513,blade,Odyssey,Ai-One Giraffe Beam,bottom20,2025.0,,,,,,,only_in_one_dataset,blade
Hideki Matsuyama,,,,,,,,T13,13.0,-6.0,blade,Scotty Cameron,009M center-shaft prototype,only_in_one_dataset,blade
Isaiah Salinda,175.0,-0.606,blade,Odyssey,Ai-One Milled Two T,bottom20,2025.0,,,,,,,only_in_one_dataset,blade
J.J. Spaun,,,,,,,,T35,35.0,-3.0,mallet,Odyssey,Ai-One Milled,only_in_one_dataset,mallet
Jacob Bridgeman,,,,,,,,T35,35.0,-3.0,mallet,Scotty Cameron,Phantom T5,only_in_one_dataset,mallet
Jake Knapp,14.0,0.456,mallet,Scotty Cameron,Phantom T-5.2,top20,2025.0,T25,25.0,-4.0,mallet,Scotty Cameron,Phantom T-5.2,consistent,mallet
Jason Day,,,,,,,,12,12.0,-7.0,mallet,TaylorMade,Spider Tour,only_in_one_dataset,mallet
John Pak,172.0,-0.553,blade,Swag Golf,Handsome Too,bottom20,2025.0,,,,,,,only_in_one_dataset,blade
Jon Rahm,,,,,,,,T13,13.0,-6.0,mallet,PING,PLD Oslo,only_in_one_dataset,mallet
Jordan Spieth,,,,,,,,T13,13.0,-6.0,blade,Scotty Cameron,Prototype blade,only_in_one_dataset,blade
Joseph Bramlett,178.0,-0.845,mallet,L.A.B. Golf,DF3,bottom20,2025.0,,,,,,,only_in_one_dataset,mallet
Justin Rose,,,,,,,,T3,3.0,-11.0,mallet,Scotty Cameron,Phantom X prototype,only_in_one_dataset,mallet
Justin Thomas,,,,,,,,T25,25.0,-4.0,blade,Scotty Cameron,Phantom 5,only_in_one_dataset,blade
Karl Vilips,166.0,-0.411,mallet,TaylorMade,Spider Tour X,bottom20,2025.0,,,,,,,only_in_one_dataset,mallet
Kevin Velo,171.0,-0.531,mallet,PING,PLD Anser,bottom20,2025.0,,,,,,,only_in_one_dataset,mallet
Ludvig Aberg,,,,,,,,T13,13.0,-6.0,blade,Scotty Cameron,Newport 2 prototype,only_in_one_dataset,blade
Matt Fitzpatrick,,,,,,,,T18,18.0,-5.0,blade,Scotty Cameron,Phantom X 5,only_in_one_dataset,blade
Matt Mccarty,17.0,0.435,mallet,PING,PLD Tyne C,top20,2025.0,,,,,,,only_in_one_dataset,mallet
