rank,player_name,sg_putting_avg,putter_type,putter_brand,putter_model,putter_release_year,group,season,source
1,Sam Burns,0.983,mallet,Odyssey,Ai-ONE 7S,2023,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
2,Taylor Montgomery,0.917,mallet,TaylorMade,Ghost Spider S,2012,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
3,Harry Hall,0.881,blade,Odyssey,O-Works Black #1 Wide S,2018,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
4,Denny McCarthy,0.679,mallet,Scotty Cameron,TOUR-only GoLo N7,2013,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
5,Nico Echavarria,0.666,mallet,Odyssey,Tri-Hot 5K Seven DB,2023,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
6,Garrick Higgo,0.661,mallet,L.A.B.,Golf OZ.1 Pro,2024,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
7,Cameron Young,0.642,mallet,Scotty Cameron,Phantom 9.5 Tour Prototype,2022,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
8,Sam Ryder,0.626,mallet,TaylorMade,Spider Tour Red,2017,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
9,Rory McIlroy,0.597,mallet,TaylorMade,Spider Tour X,2023,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
10,Sami Valimaki,0.548,mallet,Odyssey,White Hot OG 2-Ball,2021,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
11,Brandt Snedeker,0.531,mallet,Odyssey,White Hot XG Rossie,2006,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
12,Frankie Capan III,0.488,mallet,Scotty Cameron,Phantom T9.5 Tour Only,2024,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
13,Christiaan Bezuidenhout,0.458,mallet,Odyssey,Works Big T #5,2015,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
14,Jake Knapp,0.456,mallet,Scotty Cameron,Phantom T-5.2,2025,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
15,Zach Johnson,0.446,blade,SeeMore,Mini Giant FGP,2015,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
16,Andrew Putnam,0.439,mallet,Odyssey,White Hot RX Rossie,2016,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
17,Matt McCarty,0.435,mallet,PING,PLD Tyne C,2022,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
18,Harris English,0.418,mallet,PING,Scottsdale Hohum,2011,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
19,Ben Griffin,0.407,blade,Scotty Cameron,Concept 2 Tour Prototype,2025,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com) - switched to mallet late 2025
20,Tommy Fleetwood,0.404,mallet,TaylorMade,Spider Tour Black,2024,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
161,Si Woo Kim,-0.367,mallet,Odyssey,2-Ball Ten Broomstick,2021,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
162,Will Gordon,-0.38,blade,Odyssey,Ai-One Milled One T,2023,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
163,Taylor Dickson,-0.387,mallet,Odyssey,Ai-One Milled Six T,2023,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
164,Erik van Rooyen,-0.401,blade,Odyssey,Toulon Design San Diego,2016,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
165,Byeong Hun An,-0.404,mallet,L.A.B. Golf,Mezz.1,2022,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
166,Karl Vilips,-0.411,mallet,TaylorMade,Spider Tour X,2019,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
167,Greyson Sigg,-0.454,mallet,TaylorMade,Spider Tour,2017,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
168,Steven Fisk,-0.471,mallet,Odyssey,White Hot OG Rossie,2021,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
169,Hayden Buckley,-0.513,blade,Odyssey,Ai-One Giraffe Beam,2025,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
170,Ben Kohles,-0.529,mallet,Scotty Cameron,P5 GSS,2017,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
171,Kevin Velo,-0.531,mallet,PING,PLD Anser,2022,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
172,John Pak,-0.553,blade,Swag Golf,Handsome Too,2018,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
173,Adam Svensson,-0.579,blade,Odyssey,Toulon Design 904L,2023,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
174,Alejandro Tosti,-0.58,blade,Scotty Cameron,Squareback,2008,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
175,Isaiah Salinda,-0.606,blade,Odyssey,Ai-One Milled Two T,2023,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
176,Thomas Rosenmueller,-0.611,blade,SeeMore,Nashville Studio Series Z1S,2018,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
177,Doug Ghim,-0.808,mallet,Scotty Cameron,Phantom 7.2 Tour Prototype,2022,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
178,Joseph Bramlett,-0.845,mallet,L.A.B. Golf,DF3,2024,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
179,Ryan Palmer,-0.871,mallet,TaylorMade,Spider Tour S,2023,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
180,Rico Hoey,-0.97,blade,Scotty Cameron,350,2005,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com)
